date,amtmvs_2
1992-01-31,227721.0
1992-02-29,228860.0
1992-03-31,238604.0
1992-04-30,239877.0
1992-05-31,243732.0
1992-06-30,245693.0
1992-07-31,245608.0
1992-08-31,242874.0
1992-09-30,244894.0
1992-10-31,243190.0
1992-11-30,246901.0
1992-12-31,248199.0
1993-01-31,247812.0
1993-02-28,249517.0
1993-03-31,250346.0
1993-04-30,248681.0
1993-05-31,251798.0
1993-06-30,253388.0
1993-07-31,248759.0
1993-08-31,249283.0
1993-09-30,252679.0
1993-10-31,256449.0
1993-11-30,255017.0
1993-12-31,256087.0
1994-01-31,259834.0
1994-02-28,261152.0
1994-03-31,261862.0
1994-04-30,263499.0
1994-05-31,266632.0
1994-06-30,268116.0
1994-07-31,271246.0
1994-08-31,273778.0
1994-09-30,272898.0
1994-10-31,276184.0
1994-11-30,279548.0
1994-12-31,286731.0
1995-01-31,286480.0
1995-02-28,288455.0
1995-03-31,284903.0
1995-04-30,289640.0
1995-05-31,285641.0
1995-06-30,288557.0
1995-07-31,287862.0
1995-08-31,289737.0
1995-09-30,295286.0
1995-10-31,292655.0
1995-11-30,291561.0
1995-12-31,300609.0
1996-01-31,286897.0
1996-02-29,282115.0
1996-03-31,294562.0
1996-04-30,295365.0
1996-05-31,299775.0
1996-06-30,303281.0
1996-07-31,300234.0
1996-08-31,301541.0
1996-09-30,305155.0
1996-10-31,301294.0
1996-11-30,308575.0
1996-12-31,307211.0
1997-01-31,307245.0
1997-02-28,314468.0
1997-03-31,315502.0
1997-04-30,318065.0
1997-05-31,315083.0
1997-06-30,320189.0
1997-07-31,322797.0
1997-08-31,323033.0
1997-09-30,323085.0
1997-10-31,322444.0
1997-11-30,328845.0
1997-12-31,325351.0
1998-01-31,321264.0
1998-02-28,329617.0
1998-03-31,328480.0
1998-04-30,324127.0
1998-05-31,326081.0
1998-06-30,318990.0
1998-07-31,316408.0
1998-08-31,323533.0
1998-09-30,325676.0
1998-10-31,327376.0
1998-11-30,328263.0
1998-12-31,327621.0
1999-01-31,329778.0
1999-02-28,332449.0
1999-03-31,328330.0
1999-04-30,330637.0
1999-05-31,334737.0
1999-06-30,333629.0
1999-07-31,334383.0
1999-08-31,339874.0
1999-09-30,338283.0
1999-10-31,343993.0
1999-11-30,342887.0
1999-12-31,344275.0
2000-01-31,352617.0
2000-02-29,339991.0
2000-03-31,349386.0
2000-04-30,355440.0
2000-05-31,349201.0
2000-06-30,354776.0
2000-07-31,351342.0
2000-08-31,346480.0
2000-09-30,356101.0
2000-10-31,348744.0
2000-11-30,346841.0
2000-12-31,351481.0
2001-01-31,342456.0
2001-02-28,346340.0
2001-03-31,339850.0
2001-04-30,330760.0
2001-05-31,337868.0
2001-06-30,331263.0
2001-07-31,327673.0
2001-08-31,330587.0
2001-09-30,321971.0
2001-10-31,320055.0
2001-11-30,320020.0
2001-12-31,322366.0
2002-01-31,320227.0
2002-02-28,320048.0
2002-03-31,321653.0
2002-04-30,326961.0
2002-05-31,329124.0
2002-06-30,328792.0
2002-07-31,325136.0
2002-08-31,329890.0
2002-09-30,330380.0
2002-10-31,329569.0
2002-11-30,330925.0
2002-12-31,324666.0
2003-01-31,329775.0
2003-02-28,333300.0
2003-03-31,335969.0
2003-04-30,325729.0
2003-05-31,329152.0
2003-06-30,332387.0
2003-07-31,335641.0
2003-08-31,333478.0
2003-09-30,339451.0
2003-10-31,340292.0
2003-11-30,340813.0
2003-12-31,340662.0
2004-01-31,340904.0
2004-02-29,342437.0
2004-03-31,352405.0
2004-04-30,350787.0
2004-05-31,353584.0
2004-06-30,356098.0
2004-07-31,355168.0
2004-08-31,361544.0
2004-09-30,362733.0
2004-10-31,370763.0
2004-11-30,372665.0
2004-12-31,376171.0
2005-01-31,383451.0
2005-02-28,382856.0
2005-03-31,383330.0
2005-04-30,391914.0
2005-05-31,388713.0
2005-06-30,390608.0
2005-07-31,388894.0
2005-08-31,397874.0
2005-09-30,404626.0
2005-10-31,407023.0
2005-11-30,408759.0
2005-12-31,415629.0
2006-01-31,416522.0
2006-02-28,414555.0
2006-03-31,417841.0
2006-04-30,412824.0
2006-05-31,422874.0
2006-06-30,422097.0
2006-07-31,414867.0
2006-08-31,423317.0
2006-09-30,413563.0
2006-10-31,411428.0
2006-11-30,416349.0
2006-12-31,430529.0
2007-01-31,420568.0
2007-02-28,428419.0
2007-03-31,435276.0
2007-04-30,437473.0
2007-05-31,443106.0
2007-06-30,442827.0
2007-07-31,442320.0
2007-08-31,443719.0
2007-09-30,446716.0
2007-10-31,453209.0
2007-11-30,464025.0
2007-12-31,462350.0
2008-01-31,468524.0
2008-02-29,466987.0
2008-03-31,462466.0
2008-04-30,475523.0
2008-05-31,475246.0
2008-06-30,481867.0
2008-07-31,480744.0
2008-08-31,466681.0
2008-09-30,453298.0
2008-10-31,433552.0
2008-11-30,401585.0
2008-12-31,381495.0
2009-01-31,368581.0
2009-02-28,370125.0
2009-03-31,359215.0
2009-04-30,353787.0
2009-05-31,354483.0
2009-06-30,361739.0
2009-07-31,362449.0
2009-08-31,366753.0
2009-09-30,374771.0
2009-10-31,378606.0
2009-11-30,386354.0
2009-12-31,390857.0
2010-01-31,396215.0
2010-02-28,394069.0
2010-03-31,401764.0
2010-04-30,405276.0
2010-05-31,403798.0
2010-06-30,404071.0
2010-07-31,408072.0
2010-08-31,409306.0
2010-09-30,414874.0
2010-10-31,419156.0
2010-11-30,424048.0
2010-12-31,433667.0
2011-01-31,443095.0
2011-02-28,443044.0
2011-03-31,457499.0
2011-04-30,456866.0
2011-05-31,455288.0
2011-06-30,458051.0
2011-07-31,461077.0
2011-08-31,461942.0
2011-09-30,460608.0
2011-10-31,463876.0
2011-11-30,467009.0
2011-12-31,468024.0
2012-01-31,474577.0
2012-02-29,477891.0
2012-03-31,476850.0
2012-04-30,474777.0
2012-05-31,475348.0
2012-06-30,465189.0
2012-07-31,466869.0
2012-08-31,470453.0
2012-09-30,475032.0
2012-10-31,476291.0
2012-11-30,478867.0
2012-12-31,479478.0
2013-01-31,483063.0
2013-02-28,490598.0
2013-03-31,481472.0
2013-04-30,478689.0
2013-05-31,483932.0
2013-06-30,480160.0
2013-07-31,481415.0
2013-08-31,484891.0
2013-09-30,484285.0
2013-10-31,486792.0
2013-11-30,492834.0
2013-12-31,488072.0
2014-01-31,487667.0
2014-02-28,494677.0
2014-03-31,493251.0
2014-04-30,494984.0
2014-05-31,493007.0
2014-06-30,493619.0
2014-07-31,498090.0
2014-08-31,495766.0
2014-09-30,493189.0
2014-10-31,488264.0
2014-11-30,480382.0
2014-12-31,476611.0
2015-01-31,462479.0
2015-02-28,464698.0
2015-03-31,468592.0
2015-04-30,468675.0
2015-05-31,464562.0
2015-06-30,467777.0
2015-07-31,466034.0
2015-08-31,461533.0
2015-09-30,459217.0
2015-10-31,454694.0
2015-11-30,452449.0
2015-12-31,443354.0
2016-01-31,442471.0
2016-02-29,441832.0
2016-03-31,442913.0
2016-04-30,445695.0
2016-05-31,444742.0
2016-06-30,447865.0
2016-07-31,444584.0
2016-08-31,445875.0
2016-09-30,447913.0
2016-10-31,447418.0
2016-11-30,446421.0
2016-12-31,455962.0
2017-01-31,456946.0
2017-02-28,457293.0
2017-03-31,457117.0
2017-04-30,456775.0
2017-05-31,459612.0
2017-06-30,457228.0
2017-07-31,457888.0
2017-08-31,462884.0
2017-09-30,465217.0
2017-10-31,469030.0
2017-11-30,477982.0
2017-12-31,477914.0
2018-01-31,481507.0
2018-02-28,483398.0
2018-03-31,484339.0
2018-04-30,487759.0
2018-05-31,492670.0
2018-06-30,493880.0
2018-07-31,492901.0
2018-08-31,496605.0
2018-09-30,498465.0
2018-10-31,497671.0
2018-11-30,491937.0
2018-12-31,487855.0
2019-01-31,486442.0
2019-02-28,488991.0
2019-03-31,487257.0
2019-04-30,486947.0
2019-05-31,485789.0
2019-06-30,481684.0
2019-07-31,477467.0
2019-08-31,475397.0
2019-09-30,471920.0
2019-10-31,467033.0
2019-11-30,464644.0
2019-12-31,463804.0
2020-01-31,457889.0
2020-02-29,456980.0
2020-03-31,430700.0
2020-04-30,368822.0
2020-05-31,377065.0
2020-06-30,417192.0
2020-07-31,436735.0
2020-08-31,440322.0
2020-09-30,443795.0
2020-10-31,448629.0
2020-11-30,453703.0
2020-12-31,466350.0
2021-01-31,479437.0
2021-02-28,475324.0
2021-03-31,481976.0
2021-04-30,488867.0
2021-05-31,493942.0
2021-06-30,503114.0
2021-07-31,513915.0
2021-08-31,513940.0
2021-09-30,519478.0
2021-10-31,530938.0
2021-11-30,537547.0
2021-12-31,543199.0
2022-01-31,550914.0
2022-02-28,556300.0
2022-03-31,571865.0
2022-04-30,576007.0
2022-05-31,583765.0
2022-06-30,590870.0
2022-07-31,581578.0
2022-08-31,580871.0
2022-09-30,581689.0
2022-10-31,587576.0
2022-11-30,582718.0
2022-12-31,576581.0
2023-01-31,584913.0
2023-02-28,578183.0
2023-03-31,574975.0
2023-04-30,573283.0
2023-05-31,573155.0
2023-06-30,573441.0
2023-07-31,576861.0
2023-08-31,584412.0
2023-09-30,585941.0
2023-10-31,576419.0
2023-11-30,579280.0
2023-12-31,578735.0
2024-01-31,574543.0
2024-02-29,581885.0
2024-03-31,584267.0
2024-04-30,589029.0
2024-05-31,584836.0
2024-06-30,588438.0
2024-07-31,593195.0
2024-08-31,589180.0
2024-09-30,586598.0
2024-10-31,585587.0
2024-11-30,586044.0
2024-12-31,589746.0
