date,inv_ch_1
1967-01-01,47124
1967-02-01,18348
1967-03-01,19980
1967-04-01,10284
1967-05-01,10008
1967-06-01,-3924
1967-07-01,13944
1967-08-01,39996
1967-09-01,1188
1967-10-01,4176
1967-11-01,29568
1967-12-01,27624
1968-01-01,27144
1968-02-01,5268
1968-03-01,3408
1968-04-01,28644
1968-05-01,32724
1968-06-01,11304
1968-07-01,17136
1968-08-01,40428
1968-09-01,-14700
1968-10-01,42564
1968-11-01,13836
1968-12-01,2592
1969-01-01,20520
1969-02-01,23724
1969-03-01,21516
1969-04-01,17316
1969-05-01,19968
1969-06-01,14232
1969-07-01,26244
1969-08-01,35772
1969-09-01,16296
1969-10-01,26784
1969-11-01,6348
1969-12-01,19068
1970-01-01,-9828
1970-02-01,11508
1970-03-01,3888
1970-04-01,26556
1970-05-01,-7416
1970-06-01,18408
1970-07-01,30408
1970-08-01,33564
1970-09-01,-12204
1970-10-01,-10032
1970-11-01,3000
1970-12-01,-4092
1971-01-01,28272
1971-02-01,15228
1971-03-01,30384
1971-04-01,21228
1971-05-01,21984
1971-06-01,12996
1971-07-01,22896
1971-08-01,38820
1971-09-01,9060
1971-10-01,3888
1971-11-01,-12324
1971-12-01,19248
1972-01-01,16584
1972-02-01,-7140
1972-03-01,9348
1972-04-01,28236
1972-05-01,33252
1972-06-01,3516
1972-07-01,1728
1972-08-01,43776
1972-09-01,40308
1972-10-01,25440
1972-11-01,29736
1972-12-01,6084
1973-01-01,48612
1973-02-01,29976
1973-03-01,23160
1973-04-01,26952
1973-05-01,20280
1973-06-01,38532
1973-07-01,38832
1973-08-01,-15444
1973-09-01,20904
1973-10-01,38124
1973-11-01,56700
1973-12-01,52092
1974-01-01,34152
1974-02-01,13032
1974-03-01,54540
1974-04-01,15720
1974-05-01,53352
1974-06-01,44436
1974-07-01,6216
1974-08-01,-27012
1974-09-01,48516
1974-10-01,67212
1974-11-01,59664
1974-12-01,83808
1975-01-01,-9804
1975-02-01,-61236
1975-03-01,-59916
1975-04-01,-10908
1975-05-01,-60588
1975-06-01,-47136
1975-07-01,-12132
1975-08-01,9144
1975-09-01,-684
1975-10-01,14088
1975-11-01,-29484
1975-12-01,-22404
1976-01-01,19740
1976-02-01,53700
1976-03-01,25596
1976-04-01,45924
1976-05-01,47316
1976-06-01,75972
1976-07-01,55212
1976-08-01,23100
1976-09-01,69180
1976-10-01,38652
1976-11-01,22752
1976-12-01,27768
1977-01-01,31656
1977-02-01,34380
1977-03-01,44724
1977-04-01,41136
1977-05-01,29256
1977-06-01,35748
1977-07-01,41364
1977-08-01,67284
1977-09-01,65112
1977-10-01,16992
1977-11-01,57036
1977-12-01,42612
1978-01-01,46788
1978-02-01,33456
1978-03-01,111384
1978-04-01,86220
1978-05-01,33804
1978-06-01,27972
1978-07-01,18156
1978-08-01,42348
1978-09-01,36564
1978-10-01,72372
1978-11-01,69888
1978-12-01,91476
1979-01-01,82920
1979-02-01,52524
1979-03-01,16452
1979-04-01,86712
1979-05-01,53424
1979-06-01,39072
1979-07-01,139572
1979-08-01,-29544
1979-09-01,-80424
1979-10-01,48792
1979-11-01,-21240
1979-12-01,20400
1980-01-01,72744
1980-02-01,14016
1980-03-01,-4164
1980-04-01,110424
1980-05-01,-9336
1980-06-01,-28452
1980-07-01,-33732
1980-08-01,-44016
1980-09-01,-52452
1980-10-01,-30528
1980-11-01,-6720
1980-12-01,5088
1981-01-01,45456
1981-02-01,103764
1981-03-01,48012
1981-04-01,-45276
1981-05-01,26520
1981-06-01,42624
1981-07-01,42180
1981-08-01,56664
1981-09-01,59292
1981-10-01,5388
1981-11-01,131952
1981-12-01,-40176
1982-01-01,-80124
1982-02-01,-162924
1982-03-01,45984
1982-04-01,53580
1982-05-01,-166992
1982-06-01,76656
1982-07-01,69276
1982-08-01,-40800
1982-09-01,-11244
1982-10-01,-48600
1982-11-01,-162024
1982-12-01,-83364
1983-01-01,-101808
1983-02-01,-17652
1983-03-01,-82800
1983-04-01,-2664
1983-05-01,-7164
1983-06-01,19392
1983-07-01,37944
1983-08-01,93828
1983-09-01,97800
1983-10-01,37272
1983-11-01,104148
1983-12-01,106908
1984-01-01,76392
1984-02-01,210696
1984-03-01,189468
1984-04-01,193020
1984-05-01,170940
1984-06-01,56880
1984-07-01,129444
1984-08-01,241692
1984-09-01,72480
1984-10-01,151296
1984-11-01,100212
1984-12-01,62904
1985-01-01,-21024
1985-02-01,88692
1985-03-01,-2604
1985-04-01,63672
1985-05-01,7452
1985-06-01,58260
1985-07-01,62796
1985-08-01,55932
1985-09-01,-69360
1985-10-01,93972
1985-11-01,98040
1985-12-01,52080
1986-01-01,14316
1986-02-01,100416
1986-03-01,99516
1986-04-01,89640
1986-05-01,-4716
1986-06-01,41436
1986-07-01,64092
1986-08-01,-588
1986-09-01,-99060
1986-10-01,33828
1986-11-01,31248
1986-12-01,-135792
1987-01-01,114528
1987-02-01,56304
1987-03-01,124884
1987-04-01,65664
1987-05-01,95364
1987-06-01,26868
1987-07-01,-26436
1987-08-01,-29760
1987-09-01,62748
1987-10-01,193716
1987-11-01,139056
1987-12-01,152232
1988-01-01,639
1988-02-01,92127
1988-03-01,43578
1988-04-01,69720
1988-05-01,26232
1988-06-01,152184
1988-07-01,14088
1988-08-01,121980
1988-09-01,84948
1988-10-01,21456
1988-11-01,70116
1988-12-01,168393
1989-01-01,154557
1989-02-01,101751
1989-03-01,46929
1989-04-01,44496
1989-05-01,94692
1989-06-01,96840
1989-07-01,84813
1989-08-01,-12993
1989-09-01,-3282
1989-10-01,84024
1989-11-01,130380
1989-12-01,-19044
1990-01-01,-105762
1990-02-01,20397
1990-03-01,124371
1990-04-01,83925
1990-05-01,169845
1990-06-01,23565
1990-07-01,113250
1990-08-01,-8016
1990-09-01,56910
1990-10-01,-5661
1990-11-01,54945
1990-12-01,-115488
1991-01-01,76116
1991-02-01,-27405
1991-03-01,-181029
1991-04-01,-12369
1991-05-01,-107136
1991-06-01,-27639
1991-07-01,-8748
1991-08-01,-459
1991-09-01,111171
1991-10-01,69582
1991-11-01,28308
1991-12-01,80718
1992-01-01,-54915
1992-02-01,-30795
1992-03-01,31551
1992-04-01,46143
1992-05-01,-43770
1992-06-01,124089
1992-07-01,52509
1992-08-01,77742
1992-09-01,-25410
1992-10-01,1503
1992-11-01,76995
1992-12-01,74277
1993-01-01,59007
1993-02-01,104049
1993-03-01,166479
1993-04-01,84933
1993-05-01,22992
1993-06-01,69168
1993-07-01,-29730
1993-08-01,22299
1993-09-01,125370
1993-10-01,-18270
1993-11-01,121788
1993-12-01,8061
1994-01-01,59943
1994-02-01,112989
1994-03-01,25179
1994-04-01,48405
1994-05-01,280431
1994-06-01,105066
1994-07-01,153111
1994-08-01,131004
1994-09-01,45318
1994-10-01,180456
1994-11-01,146166
1994-12-01,194361
1995-01-01,234204
1995-02-01,95961
1995-03-01,167082
1995-04-01,148704
1995-05-01,60378
1995-06-01,144132
1995-07-01,97767
1995-08-01,17577
1995-09-01,100476
1995-10-01,157830
1995-11-01,23799
1995-12-01,-20232
1996-01-01,134256
1996-02-01,-15144
1996-03-01,-120636
1996-04-01,169308
1996-05-01,-3996
1996-06-01,-4356
1996-07-01,117078
1996-08-01,65490
1996-09-01,41079
1996-10-01,123948
1996-11-01,77502
1996-12-01,-2034
1997-01-01,170699
1997-02-01,143118
1997-03-01,34890
1997-04-01,252377
1997-05-01,171253
1997-06-01,202616
1997-07-01,103499
1997-08-01,96478
1997-09-01,209131
1997-10-01,205095
1997-11-01,150732
1997-12-01,184961
