date,PCEC
1939-03-31,
1939-06-30,
1939-09-30,
1939-12-31,
1940-03-31,
1940-06-30,
1940-09-30,
1940-12-31,
1941-03-31,
1941-06-30,
1941-09-30,
1941-12-31,
1942-03-31,
1942-06-30,
1942-09-30,
1942-12-31,
1943-03-31,
1943-06-30,
1943-09-30,
1943-12-31,
1944-03-31,
1944-06-30,
1944-09-30,
1944-12-31,
1945-03-31,
1945-06-30,
1945-09-30,
1945-12-31,
1946-03-31,
1946-06-30,
1946-09-30,
1946-12-31,
1947-03-31,156.161
1947-06-30,160.031
1947-09-30,163.543
1947-12-31,167.672
1948-03-31,170.372
1948-06-30,174.142
1948-09-30,177.072
1948-12-31,177.928
1949-03-31,176.831
1949-06-30,178.446
1949-09-30,177.806
1949-12-31,180.249
1950-03-31,182.92
1950-06-30,186.806
1950-09-30,200.505
1950-12-31,197.946
1951-03-31,209.207
1951-06-30,204.942
1951-09-30,207.616
1951-12-31,211.59
1952-03-31,212.969
1952-06-30,217.088
1952-09-30,219.553
1952-12-31,227.67
1953-03-31,231.22
1953-06-30,232.96
1953-09-30,233.666
1953-12-31,233.112
1954-03-31,235.154
1954-06-30,237.885
1954-09-30,240.303
1954-12-31,245.093
1955-03-31,251.398
1955-06-30,256.466
1955-09-30,260.651
1955-12-31,264.639
1956-03-31,266.156
1956-06-30,268.834
1956-09-30,272.075
1956-12-31,277.445
1957-03-31,281.889
1957-06-30,284.176
1957-09-30,288.75
1957-12-31,290.368
1958-03-31,289.888
1958-06-30,292.819
1958-09-30,297.893
1958-12-31,301.823
1959-03-31,309.449
1959-06-30,315.505
1959-09-30,320.725
1959-12-31,322.842
1960-03-31,326.364
1960-06-30,332.208
1960-09-30,332.126
1960-12-31,334.024
1961-03-31,334.52
1961-06-30,339.455
1961-09-30,342.332
1961-12-31,349.593
1962-03-31,354.822
1962-06-30,360.458
1962-09-30,364.333
1962-12-31,370.618
1963-03-31,374.283
1963-06-30,378.413
1963-09-30,385.394
1963-12-31,390.049
1964-03-31,399.581
1964-06-30,407.536
1964-09-30,416.422
1964-12-31,418.987
1965-03-31,429.711
1965-06-30,436.642
1965-09-30,445.804
1965-12-31,459.736
1966-03-31,470.136
1966-06-30,475.189
1966-09-30,484.291
1966-12-31,490.06
1967-03-31,494.317
1967-06-30,503.458
1967-09-30,510.717
1967-12-31,518.249
1968-03-31,536.297
1968-06-30,550.014
1968-09-30,566.122
1968-12-31,574.977
1969-03-31,587.005
1969-06-30,598.337
1969-09-30,608.626
1969-12-31,620.586
1970-03-31,631.685
1970-06-30,641.57
1970-09-30,653.482
1970-12-31,660.161
1971-03-31,679.186
1971-06-30,693.225
1971-09-30,705.599
1971-12-31,721.739
1972-03-31,738.948
1972-06-30,757.364
1972-09-30,775.799
1972-12-31,800.502
1973-03-31,825.007
1973-06-30,840.527
1973-09-30,858.877
1973-12-31,873.887
1974-03-31,891.868
1974-06-30,920.422
1974-09-30,949.276
1974-12-31,959.079
1975-03-31,985.19
1975-06-30,1013.582
1975-09-30,1047.192
1975-12-31,1076.223
1976-03-31,1109.908
1976-06-30,1129.54
1976-09-30,1158.806
1976-12-31,1192.408
1977-03-31,1228.212
1977-06-30,1255.98
1977-09-30,1286.905
1977-12-31,1324.804
1978-03-31,1354.053
1978-06-30,1411.385
1978-09-30,1442.217
1978-12-31,1481.354
1979-03-31,1517.141
1979-06-30,1557.635
1979-09-30,1611.867
1979-12-31,1655.035
1980-03-31,1702.302
1980-06-30,1704.723
1980-09-30,1763.771
1980-12-31,1831.874
1981-03-31,1885.734
1981-06-30,1917.524
1981-09-30,1958.099
1981-12-31,1974.447
1982-03-31,2014.155
1982-06-30,2039.645
1982-09-30,2085.671
1982-12-31,2145.554
1983-03-31,2184.589
1983-06-30,2249.438
1983-09-30,2319.895
1983-12-31,2372.496
1984-03-31,2418.165
1984-06-30,2475.876
1984-09-30,2513.523
1984-12-31,2561.797
1985-03-31,2636.008
1985-06-30,2681.764
1985-09-30,2754.148
1985-12-31,2779.4
1986-03-31,2823.648
1986-06-30,2851.456
1986-09-30,2917.201
1986-12-31,2952.807
1987-03-31,2983.513
1987-06-30,3053.33
1987-09-30,3117.358
1987-12-31,3150.916
1988-03-31,3231.896
1988-06-30,3291.716
1988-09-30,3361.899
1988-12-31,3434.539
1989-03-31,3490.172
1989-06-30,3553.767
1989-09-30,3609.399
1989-12-31,3653.692
1990-03-31,3737.948
1990-06-30,3783.421
1990-09-30,3846.7
1990-12-31,3867.909
1991-03-31,3873.562
1991-06-30,3926.932
1991-09-30,3973.269
1991-12-31,4000.032
1992-03-31,4100.401
1992-06-30,4155.66
1992-09-30,4226.971
1992-12-31,4307.205
1993-03-31,4349.515
1993-06-30,4418.581
1993-09-30,4487.189
1993-12-31,4552.651
1994-03-31,4621.223
1994-06-30,4683.163
1994-09-30,4752.761
1994-12-31,4826.713
1995-03-31,4862.436
1995-06-30,4933.609
1995-09-30,4998.662
1995-12-31,5055.655
1996-03-31,5130.615
1996-06-30,5220.499
1996-09-30,5274.505
1996-12-31,5352.763
1997-03-31,5433.105
1997-06-30,5471.267
1997-09-30,5579.179
1997-12-31,5663.61
1998-03-31,5721.342
1998-06-30,5832.566
1998-09-30,5926.846
1998-12-31,6028.238
1999-03-31,6102.04
1999-06-30,6230.641
1999-09-30,6335.31
1999-12-31,6467.039
2000-03-31,6618.217
2000-06-30,6711.911
2000-09-30,6819.984
2000-12-31,6918.606
2001-03-31,6995.298
2001-06-30,7042.25
2001-09-30,7070.337
2001-12-31,7187.32
2002-03-31,7217.715
2002-06-30,7307.955
2002-09-30,7397.135
2002-12-31,7472.958
2003-03-31,7567.16
2003-06-30,7661.458
2003-09-30,7820.927
2003-12-31,7913.453
2004-03-31,8048.777
2004-06-30,8147.108
2004-09-30,8283.335
2004-12-31,8448.621
2005-03-31,8551.735
2005-06-30,8701.145
2005-09-30,8868.089
2005-12-31,8955.295
2006-03-31,9100.153
2006-06-30,9227.649
2006-09-30,9353.772
2006-12-31,9427.368
2007-03-31,9572.138
2007-06-30,9678.713
2007-09-30,9798.383
2007-12-31,9937.14
2008-03-31,10004.445
2008-06-30,10129.869
2008-09-30,10159.078
2008-12-31,9906.942
2009-03-31,9814.969
2009-06-30,9805.502
2009-09-30,9939.406
2009-12-31,10004.996
2010-03-31,10101.822
2010-06-30,10208.145
2010-09-30,10300.754
2010-12-31,10430.304
2011-03-31,10558.195
2011-06-30,10673.018
2011-09-30,10755.029
2011-12-31,10809.186
2012-03-31,10959.301
2012-06-30,11005.055
2012-09-30,11059.393
2012-12-31,11165.703
2013-03-31,11277.664
2013-06-30,11315.681
2013-09-30,11408.359
2013-12-31,11551.229
2014-03-31,11646.001
2014-06-30,11810.451
2014-09-30,11959.79
2014-12-31,12081.561
2015-03-31,12119.763
2015-06-30,12264.14
2015-09-30,12382.494
2015-12-31,12423.353
2016-03-31,12523.156
2016-06-30,12665.124
2016-09-30,12797.126
2016-12-31,12921.989
2017-03-31,13097.306
2017-06-30,13188.73
2017-09-30,13325.065
2017-12-31,13551.401
2018-03-31,13745.074
2018-06-30,13891.294
2018-09-30,14002.199
2018-12-31,14099.199
2019-03-31,14150.191
2019-06-30,14350.662
2019-09-30,14548.282
2019-12-31,14701.038
2020-03-31,14496.227
2020-06-30,13175.637
2020-09-30,14478.033
2020-12-31,14752.732
2021-03-31,15259.427
2021-06-30,16016.346
2021-09-30,16363.876
2021-12-31,16816.132
2022-03-31,17175.105
2022-06-30,17603.753
2022-09-30,17876.234
2022-12-31,18108.27
2023-03-31,18506.211
2023-06-30,18685.724
2023-09-30,18928.987
2023-12-31,19170.154
2024-03-31,19424.775
2024-06-30,19682.699
2024-09-30,19938.425
2024-12-31,20262.717
