date,res
1993-01-31,344175.0
1993-02-28,343724.0
1993-03-31,338627.0
1993-04-30,342517.0
1993-05-31,347364.0
1993-06-30,351035.0
1993-07-31,354273.0
1993-08-31,361455.0
1993-09-30,365314.0
1993-10-31,366218.0
1993-11-30,383509.0
1993-12-31,395253.0
1994-01-31,386847.0
1994-02-28,388623.0
1994-03-31,395098.0
1994-04-30,404397.0
1994-05-31,406337.0
1994-06-30,404473.0
1994-07-31,403695.0
1994-08-31,404755.0
1994-09-30,406085.0
1994-10-31,397963.0
1994-11-30,408104.0
1994-12-31,406665.0
1995-01-31,410972.0
1995-02-28,407720.0
1995-03-31,406957.0
1995-04-30,405745.0
1995-05-31,402756.0
1995-06-30,403182.0
1995-07-31,409867.0
1995-08-31,406993.0
1995-09-30,411442.0
1995-10-31,411476.0
1995-11-30,413628.0
1995-12-31,417717.0
1996-01-31,428026.0
1996-02-29,429337.0
1996-03-31,434372.0
1996-04-30,442341.0
1996-05-31,447219.0
1996-06-30,458019.0
1996-07-31,452584.0
1996-08-31,459865.0
1996-09-30,465833.0
1996-10-31,470927.0
1996-11-30,469598.0
1996-12-31,461233.0
1997-01-31,463895.0
1997-02-28,465148.0
1997-03-31,467193.0
1997-04-30,463526.0
1997-05-31,471680.0
1997-06-30,471896.0
1997-07-31,480433.0
1997-08-31,483946.0
1997-09-30,493470.0
1997-10-31,496090.0
1997-11-30,490912.0
1997-12-31,487580.0
1998-01-31,496187.0
1998-02-28,500693.0
1998-03-31,519814.0
1998-04-30,523887.0
1998-05-31,527735.0
1998-06-30,545021.0
1998-07-31,536373.0
1998-08-31,542472.0
1998-09-30,547827.0
1998-10-31,549735.0
1998-11-30,550932.0
1998-12-31,546196.0
1999-01-31,548864.0
1999-02-28,559236.0
1999-03-31,570031.0
1999-04-30,561107.0
1999-05-31,562669.0
1999-06-30,572336.0
1999-07-31,575881.0
1999-08-31,572783.0
1999-09-30,582514.0
1999-10-31,589243.0
1999-11-30,603727.0
1999-12-31,604386.0
2000-01-31,600264.0
2000-02-29,617385.0
2000-03-31,621553.0
2000-04-30,621040.0
2000-05-31,626076.0
2000-06-30,620043.0
2000-07-31,612019.0
2000-08-31,621951.0
2000-09-30,628561.0
2000-10-31,630731.0
2000-11-30,636061.0
2000-12-31,626222.0
2001-01-31,626287.0
2001-02-28,624444.0
2001-03-31,630602.0
2001-04-30,640778.0
2001-05-31,641607.0
2001-06-30,650470.0
2001-07-31,645593.0
2001-08-31,643815.0
2001-09-30,638853.0
2001-10-31,639264.0
2001-11-30,636361.0
2001-12-31,640399.0
2002-01-31,641333.0
2002-02-28,642371.0
2002-03-31,637762.0
2002-04-30,649539.0
2002-05-31,635840.0
2002-06-30,636959.0
2002-07-31,633982.0
2002-08-31,626571.0
2002-09-30,619424.0
2002-10-31,625547.0
2002-11-30,630314.0
2002-12-31,634179.0
2003-01-31,644597.0
2003-02-28,643146.0
2003-03-31,642886.0
2003-04-30,647572.0
2003-05-31,653690.0
2003-06-30,662446.0
2003-07-31,673624.0
2003-08-31,681626.0
2003-09-30,692384.0
2003-10-31,702997.0
2003-11-30,711373.0
2003-12-31,735545.0
2004-01-31,725993.0
2004-02-29,727494.0
2004-03-31,739934.0
2004-04-30,745840.0
2004-05-31,755493.0
2004-06-30,760308.0
2004-07-31,782149.0
2004-08-31,792795.0
2004-09-30,793176.0
2004-10-31,797716.0
2004-11-30,797420.0
2004-12-31,813006.0
2005-01-31,825808.0
2005-02-28,840233.0
2005-03-31,843537.0
2005-04-30,852498.0
2005-05-31,859149.0
2005-06-30,868983.0
2005-07-31,882652.0
2005-08-31,891308.0
2005-09-30,910555.0
2005-10-31,924035.0
2005-11-30,934747.0
2005-12-31,942916.0
2006-01-31,953023.0
2006-02-28,958845.0
2006-03-31,953676.0
2006-04-30,938040.0
2006-05-31,926742.0
2006-06-30,914387.0
2006-07-31,899889.0
2006-08-31,891023.0
2006-09-30,880972.0
2006-10-31,866011.0
2006-11-30,861135.0
2006-12-31,865173.0
2007-01-31,857820.0
2007-02-28,863980.0
2007-03-31,868219.0
2007-04-30,868844.0
2007-05-31,872180.0
2007-06-30,875432.0
2007-07-31,866607.0
2007-08-31,865645.0
2007-09-30,861241.0
2007-10-31,856548.0
2007-11-30,834014.0
2007-12-31,818447.0
2008-01-31,817096.0
2008-02-29,797325.0
2008-03-31,796908.0
2008-04-30,796740.0
2008-05-31,796227.0
2008-06-30,782540.0
2008-07-31,776343.0
2008-08-31,756391.0
2008-09-30,751020.0
2008-10-31,741627.0
2008-11-30,718137.0
2008-12-31,687183.0
2009-01-31,665547.0
2009-02-28,650342.0
2009-03-31,638312.0
2009-04-30,613586.0
2009-05-31,602945.0
2009-06-30,591569.0
2009-07-31,588845.0
2009-08-31,585659.0
2009-09-30,576370.0
2009-10-31,563525.0
2009-11-30,555858.0
2009-12-31,542280.0
2010-01-31,523818.0
2010-02-28,522690.0
2010-03-31,521538.0
2010-04-30,521759.0
2010-05-31,517381.0
2010-06-30,514886.0
2010-07-31,497237.0
2010-08-31,493882.0
2010-09-30,491254.0
2010-10-31,494245.0
2010-11-30,502623.0
2010-12-31,496427.0
2011-01-31,466258.0
2011-02-28,469683.0
2011-03-31,478764.0
2011-04-30,484520.0
2011-05-31,492386.0
2011-06-30,510469.0
2011-07-31,512517.0
2011-08-31,524261.0
2011-09-30,524124.0
2011-10-31,523803.0
2011-11-30,525055.0
2011-12-31,531994.0
2012-01-31,545820.0
2012-02-29,541614.0
2012-03-31,549336.0
2012-04-30,562968.0
2012-05-31,569380.0
2012-06-30,572255.0
2012-07-31,578121.0
2012-08-31,582028.0
2012-09-30,591627.0
2012-10-31,600532.0
2012-11-30,597939.0
2012-12-31,603681.0
2013-01-31,596538.0
2013-02-28,601501.0
2013-03-31,602332.0
2013-04-30,609725.0
2013-05-31,619589.0
2013-06-30,627431.0
2013-07-31,644727.0
2013-08-31,655213.0
2013-09-30,665438.0
2013-10-31,680200.0
2013-11-30,694031.0
2013-12-31,709465.0
2014-01-31,722261.0
2014-02-28,723297.0
2014-03-31,724943.0
2014-04-30,735396.0
2014-05-31,733512.0
2014-06-30,732600.0
2014-07-31,732523.0
2014-08-31,733625.0
2014-09-30,745152.0
2014-10-31,759835.0
2014-11-30,764621.0
2014-12-31,772232.0
2015-01-31,779888.0
2015-02-28,792218.0
2015-03-31,803292.0
2015-04-30,822724.0
2015-05-31,841043.0
2015-06-30,858543.0
2015-07-31,854050.0
2015-08-31,858720.0
2015-09-30,864919.0
2015-10-31,859721.0
2015-11-30,857944.0
2015-12-31,858325.0
2016-01-31,857535.0
2016-02-29,871758.0
2016-03-31,888771.0
2016-04-30,891344.0
2016-05-31,899820.0
2016-06-30,916207.0
2016-07-31,922354.0
2016-08-31,929077.0
2016-09-30,934515.0
2016-10-31,943099.0
2016-11-30,963058.0
2016-12-31,973669.0
2017-01-31,968218.0
2017-02-28,980206.0
2017-03-31,976383.0
2017-04-30,979126.0
2017-05-31,984190.0
2017-06-30,981121.0
2017-07-31,979486.0
2017-08-31,978741.0
2017-09-30,983748.0
2017-10-31,980997.0
2017-11-30,1003620.0
2017-12-31,1013068.0
2018-01-31,1037380.0
2018-02-28,1054815.0
2018-03-31,1042620.0
2018-04-30,1045687.0
2018-05-31,1049237.0
2018-06-30,1031415.0
2018-07-31,1021298.0
2018-08-31,1017718.0
2018-09-30,1014822.0
2018-10-31,999185.0
2018-11-30,991222.0
2018-12-31,982215.0
2019-01-31,974605.0
2019-02-28,981482.0
2019-03-31,992290.0
2019-04-30,1003110.0
2019-05-31,1019464.0
2019-06-30,1040764.0
2019-07-31,1062081.0
2019-08-31,1079675.0
2019-09-30,1084924.0
2019-10-31,1091673.0
2019-11-30,1110764.0
2019-12-31,1112086.0
2020-01-31,1119212.0
2020-02-29,1126492.0
2020-03-31,1129976.0
2020-04-30,1091540.0
2020-05-31,1076612.0
2020-06-30,1088087.0
2020-07-31,1105750.0
2020-08-31,1126482.0
2020-09-30,1145625.0
2020-10-31,1170393.0
2020-11-30,1182732.0
2020-12-31,1204911.0
2021-01-31,1230623.0
2021-02-28,1219085.0
2021-03-31,1249983.0
2021-04-30,1259383.0
2021-05-31,1269617.0
2021-06-30,1286026.0
2021-07-31,1305721.0
2021-08-31,1307515.0
2021-09-30,1318241.0
2021-10-31,1332688.0
2021-11-30,1369037.0
2021-12-31,1399767.0
2022-01-31,1446619.0
2022-02-28,1482813.0
2022-03-31,1507372.0
2022-04-30,1543108.0
2022-05-31,1558902.0
2022-06-30,1541751.0
2022-07-31,1536722.0
2022-08-31,1525565.0
2022-09-30,1521243.0
2022-10-31,1513174.0
2022-11-30,1515308.0
2022-12-31,1519326.0
2023-01-31,1521028.0
2023-02-28,1523641.0
2023-03-31,1535495.0
2023-04-30,1552516.0
2023-05-31,1567224.0
2023-06-30,1572044.0
2023-07-31,1579640.0
2023-08-31,1593288.0
2023-09-30,1592388.0
2023-10-31,1595072.0
2023-11-30,1610750.0
2023-12-31,1618405.0
2024-01-31,1644026.0
2024-02-29,1653354.0
2024-03-31,1650284.0
2024-04-30,1676330.0
2024-05-31,1681107.0
2024-06-30,1658049.0
2024-07-31,1650447.0
2024-08-31,1667592.0
2024-09-30,1639480.0
2024-10-31,1669933.0
2024-11-30,1677577.0
2024-12-31,1690096.0
2025-01-31,1685979.0
